Date,EUR/USD Close,USD/JPY Close,USD/CHF Close,GBP/USD Close,USD/CAD Close,EUR/GBP Close,EUR/JPY Close,EUR/CHF Close,AUD/USD Close,GBP/JPY Close,CHF/JPY Close,GBP/CHF Close,NZD/USD Close
2017-07-07,1.14062,113.946,0.9635,1.28924,1.28764,0.88463,129.973,1.09916,0.7602,146.903,118.16,1.24235,0.7278
2017-07-10,1.14012,114.014,0.96553,1.28807,1.28841,0.8851,129.992,1.10084,0.76063,146.855,118.07,1.24365,0.72757
2017-07-11,1.14688,113.881,0.96347,1.28481,1.29183,0.8926,130.608,1.10493,0.76339,146.315,118.169,1.23781,0.72339
2017-07-12,1.14201,113.149,0.96492,1.28851,1.2734,0.88624,129.217,1.10192,0.76766,145.785,117.252,1.24321,0.72629
2017-07-13,1.1404,113.244,0.96669,1.29436,1.27292,0.88105,129.163,1.10261,0.77307,146.585,117.12,1.25124,0.7317
2017-07-14,1.1466,112.578,0.96385,1.30917,1.26473,0.87576,129.08,1.1051,0.78234,147.391,116.8,1.26177,0.73435
2017-07-17,1.14774,112.623,0.96227,1.3051,1.26895,0.87935,129.269,1.10451,0.7793,146.992,117.022,1.25593,0.731
2017-07-18,1.15582,111.988,0.95483,1.30456,1.26196,0.88591,129.439,1.10362,0.79215,146.089,117.275,1.24564,0.73583
2017-07-19,1.15164,111.826,0.95559,1.30194,1.25974,0.88452,128.785,1.10049,0.79562,145.59,117.02,1.24396,0.73603
2017-07-20,1.16271,111.972,0.95146,1.2975,1.2582,0.89606,130.193,1.10625,0.79564,145.279,117.66,1.23455,0.7405
2017-07-21,1.16748,111.028,0.94427,1.29996,1.25394,0.89803,129.62,1.1025,0.79149,144.31,117.57,1.2275,0.74555
2017-07-24,1.16437,111.106,0.94613,1.3033,1.24988,0.8931,129.369,1.10166,0.7923,144.825,117.409,1.23315,0.74333
2017-07-25,1.1652,111.638,0.94948,1.30342,1.25045,0.89401,130.103,1.1064,0.79496,145.513,117.569,1.23748,0.74242
2017-07-26,1.1727,111.21,0.9513,1.3104,1.2453,0.8947,130.41,1.1155,0.7994,145.71,116.88,1.2464,0.7503
2017-07-27,1.16781,111.139,0.96416,1.3066,1.25594,0.8936,129.789,1.12596,0.7967,145.233,115.259,1.25995,0.74906
2017-07-28,1.17561,110.594,0.96841,1.31417,1.24393,0.89452,130.021,1.13851,0.7985,145.345,114.18,1.27266,0.75161
2017-07-31,1.1829,110.22,0.9668,1.3195,1.2452,0.8964,130.4,1.1436,0.7996,145.41,113.99,1.2753,0.7507
2017-08-01,1.18,110.31,0.9661,1.3206,1.2528,0.8934,130.19,1.1402,0.7961,145.67,114.17,1.2755,0.7468
2017-08-02,1.1859,110.58,0.9696,1.323,1.2554,0.8962,131.15,1.1497,0.7968,146.3,114.04,1.2824,0.7436
2017-08-03,1.1865,110.06,0.9698,1.313,1.258,0.9036,130.6,1.1507,0.7939,144.49,113.46,1.273,0.7434
2017-08-04,1.1771,110.63,0.9727,1.3041,1.2646,0.9028,130.25,1.1451,0.7927,144.22,113.71,1.2679,0.7415
2017-08-07,1.179,110.74,0.9734,1.3025,1.2679,0.905,130.57,1.1476,0.7909,144.23,113.74,1.2676,0.7355
2017-08-08,1.1754,110.46,0.9753,1.2977,1.2665,0.9057,129.84,1.1463,0.7911,143.31,113.24,1.2652,0.7326
2017-08-09,1.1757,109.84,0.9634,1.3005,1.2695,0.9038,129.16,1.1326,0.7884,142.84,114.03,1.2525,0.7329
2017-08-10,1.1772,109.25,0.9632,1.298,1.2721,0.907,128.63,1.1339,0.789,141.77,113.41,1.2498,0.7286
2017-08-11,1.1825,108.99,0.9613,1.3017,1.2677,0.9084,128.89,1.1367,0.7897,141.84,113.35,1.2509,0.732
2017-08-14,1.1783,109.65,0.9724,1.2966,1.2718,0.9091,129.21,1.1454,0.7857,142.16,112.77,1.2604,0.7291
2017-08-15,1.1736,110.55,0.9724,1.2866,1.2747,0.912,129.75,1.1411,0.7819,142.22,113.68,1.2509,0.7237
2017-08-16,1.1764,110.21,0.9658,1.2882,1.2654,0.9131,129.65,1.1361,0.7919,141.96,114.09,1.2438,0.7305
2017-08-17,1.1731,109.95,0.9646,1.288,1.2644,0.9107,129,1.1315,0.7918,141.6,113.96,1.2421,0.73
2017-08-18,1.1764,109.19,0.9646,1.2878,1.2572,0.9134,128.46,1.1348,0.7935,140.59,113.17,1.2418,0.7316
2017-08-21,1.1813,108.81,0.9621,1.29,1.2565,0.9157,128.53,1.1365,0.7935,140.32,113.07,1.2406,0.732
2017-08-22,1.1752,109.51,0.9684,1.2824,1.256,0.9163,128.69,1.138,0.7905,140.4,113.07,1.2414,0.7275
2017-08-23,1.1813,109.03,0.9653,1.2801,1.2546,0.9228,128.81,1.1404,0.7902,139.53,112.93,1.2352,0.7222
2017-08-24,1.1801,109.49,0.9654,1.2801,1.2527,0.9219,129.23,1.1392,0.7899,140.13,113.4,1.2354,0.7208
2017-08-25,1.1922,109.34,0.9557,1.2872,1.2476,0.9262,130.36,1.1393,0.7933,140.71,114.39,1.2298,0.7232
2017-08-28,1.1982,109.08,0.9545,1.294,1.2496,0.9259,130.71,1.1436,0.7965,141.12,114.28,1.2348,0.7258
2017-08-29,1.1975,109.87,0.9549,1.2921,1.2527,0.9267,131.55,1.1434,0.795,141.92,115.04,1.2334,0.7249
2017-08-30,1.189,110.35,0.9633,1.2922,1.2618,0.92,131.22,1.1451,0.7902,142.58,114.54,1.2444,0.7198
2017-08-31,1.1901,109.89,0.9589,1.2926,1.2498,0.9205,130.79,1.1411,0.7941,142.03,114.59,1.2392,0.7179
2017-09-01,1.1865,110.24,0.9648,1.2954,1.2388,0.9159,130.81,1.1448,0.7967,142.77,114.23,1.2494,0.7163
2017-09-04,1.1907,109.59,0.9552,1.2955,1.2414,0.9191,130.5,1.1373,0.795,141.93,114.73,1.237,0.717
2017-09-05,1.1916,108.72,0.955,1.3036,1.238,0.9141,129.56,1.138,0.7992,141.7,113.82,1.2444,0.7244
2017-09-06,1.1911,109.35,0.9573,1.3038,1.2229,0.9135,130.25,1.1403,0.7992,142.55,114.2,1.2477,0.7189
2017-09-07,1.2003,108.64,0.9524,1.3082,1.214,0.9174,130.4,1.143,0.8028,142.1,114.04,1.2456,0.7215
2017-09-08,1.2036,107.76,0.9447,1.3204,1.2142,0.9114,129.71,1.1369,0.8059,142.27,114.04,1.2472,0.7271
2017-09-11,1.1963,109.31,0.9539,1.3175,1.2113,0.9081,130.8,1.1411,0.8029,143.98,114.57,1.2563,0.7247
2017-09-12,1.1964,110.11,0.9608,1.3285,1.2172,0.9004,131.75,1.1493,0.802,146.27,114.59,1.2761,0.7288
2017-09-13,1.188,110.6,0.9654,1.3199,1.2196,0.9,131.4,1.1469,0.7977,145.95,114.54,1.2738,0.7229
2017-09-14,1.1907,110.53,0.9639,1.3397,1.2189,0.8887,131.62,1.1476,0.7984,148.05,114.65,1.291,0.721
2017-09-15,1.1939,110.86,0.9591,1.3567,1.2178,0.8799,132.38,1.145,0.7999,150.4,115.6,1.3009,0.7283
2017-09-18,1.1952,111.54,0.9607,1.351,1.223,0.8845,133.31,1.1482,0.7971,150.66,116.07,1.2976,0.726
2017-09-19,1.1999,111.45,0.9624,1.3521,1.227,0.8873,133.74,1.1548,0.8011,150.66,115.79,1.3009,0.7316
2017-09-20,1.1876,112.42,0.9706,1.3472,1.2344,0.8814,133.52,1.1527,0.8011,151.44,115.81,1.3073,0.734
2017-09-21,1.1932,112.51,0.9717,1.3571,1.2334,0.8791,134.26,1.1594,0.7932,152.68,115.77,1.3184,0.7309
2017-09-22,1.1965,111.95,0.9688,1.3507,1.2311,0.8858,133.95,1.1592,0.7972,151.2,115.53,1.3083,0.7332
2017-09-25,1.1844,111.61,0.9669,1.347,1.2356,0.8793,132.22,1.1451,0.7941,150.3,115.42,1.3019,0.7266
2017-09-26,1.1798,112.24,0.9696,1.3446,1.2371,0.8775,132.44,1.1438,0.7891,150.89,115.74,1.3031,0.7204
2017-09-27,1.1752,112.76,0.9718,1.3398,1.246,0.877,132.52,1.1421,0.7857,151.05,116.01,1.3016,0.7217
2017-09-28,1.1783,112.38,0.9701,1.3444,1.242,0.8764,132.43,1.143,0.7852,151.06,115.82,1.3037,0.7231
2017-09-29,1.1817,112.53,0.9681,1.3398,1.2477,0.88181,132.99,1.1441,0.7838,150.74,116.21,1.2967,0.7219
2017-10-02,1.1739,112.67,0.9743,1.3264,1.2505,0.88327,132.28,1.1438,0.7821,149.42,115.62,1.2921,0.7198
